50 5
1 25 21
1 353 764
2 199 552
3 172 988
4 167 750
5 421 892
6 8 43
7 257 434
8 288 903
9 312 31
10 179 165
11 426 674
12 435 340
13 31 697
14 212 827
15 68 924
16 300 823
17 266 894
18 189 790
19 194 438
20 329 733
21 257

2 39 24
1 492 875
2 365 843
3 144 719
4 140 38
5 454 236
6 243 741
7 79 519
8 381 445
9 195 716
10 137 382
11 417 295
12 78 144
13 315 111
14 298 692
15 232 809
16 168 413
17 491 422
18 319 251
19 387 803
20 232 51
21 364 353
22 72 225
23 83 407
24 81

3 49 23
1 430 785
2 328 928
3 417 835
4 228 910
5 7 284
6 312 793
7 145 157
8 444 990
9 131 665
10 327 226
11 97 843
12 123 261
13 111 806
14 103 517
15 431 85
16 117 303
17 468 619
18 351 647
19 495 115
20 125 146
21 358 264
22 384 191
23 47

4 9 32
1 450 32
2 400 284
3 466 84
4 445 218
5 165 755
6 213 992
7 112 358
8 279 107
9 460 638
10 316 137
11 44 153
12 190 216
13 463 328
14 492 928
15 226 234
16 373 153
17 60 252
18 200 945
19 478 219
20 299 904
21 342 816
22 256 238
23 430 884
24 41 367
25 240 501
26 195 914
27 260 180
28 356 966
29 51 721
30 478 825
31 102 624
32 255

5 3 9
1 315 801
2 197 899
3 169 92
4 476 132
5 192 95
6 113 828
7 436 673
8 423 657
9 107

6 83 24
1 279 608
2 457 737
3 56 978
4 329 102
5 239 239
6 27 827
7 236 624
8 248 273
9 302 717
10 73 841
11 304 274
12 322 428
13 352 297
14 212 679
15 355 666
16 481 318
17 215 955
18 159 682
19 119 73
20 250 675
21 168 769
22 440 899
23 24 980
24 341

7 24 26
1 401 447
2 383 271
3 377 71
4 179 197
5 423 518
6 378 897
7 192 624
8 50 498
9 397 564
10 499 758
11 132 574
12 290 336
13 469 838
14 317 826
15 61 227
16 139 557
17 70 399
18 350 737
19 434 728
20 409 477
21 101 839
22 251 530
23 104 203
24 123 119
25 364 48
26 355

8 76 38
1 246 866
2 471 505
3 486 231
4 140 395
5 182 825
6 461 722
7 69 753
8 98 362
9 10 651
10 282 169
11 89 841
12 77 139
13 117 148
14 236 439
15 37 44
16 83 52
17 83 269
18 183 398
19 348 229
20 167 635
21 350 887
22 384 37
23 395 305
24 44 969
25 445 517
26 234 836
27 379 542
28 341 561
29 117 115
30 117 273
31 34 457
32 363 247
33 349 454
34 95 242
35 446 42
36 224 135
37 183 920
38 351

9 15 8
1 379 820
2 403 299
3 396 927
4 345 770
5 192 670
6 444 115
7 100 889
8 247

10 55 19
1 373 170
2 52 592
3 288 750
4 294 830
5 126 238
6 345 878
7 140 572
8 111 558
9 275 911
10 276 513
11 180 755
12 102 644
13 216 618
14 348 377
15 455 302
16 326 669
17 242 43
18 227 344
19 489

11 249 5
1 42 997
2 142 661
3 186 122
4 418 47
5 184

12 9 37
1 381 627
2 265 639
3 135 604
4 489 506
5 266 193
6 141 593
7 51 835
8 461 756
9 403 791
10 226 33
11 245 488
12 256 107
13 126 784
14 151 362
15 452 142
16 69 674
17 461 295
18 333 180
19 113 947
20 457 306
21 433 698
22 449 361
23 118 960
24 25 687
25 293 257
26 127 893
27 278 852
28 194 747
29 34 814
30 139 342
31 301 282
32 166 529
33 287 183
34 287 692
35 281 949
36 412 954
37 208

13 27 18
1 130 877
2 333 608
3 74 376
4 495 879
5 401 400
6 286 668
7 393 683
8 46 579
9 354 220
10 189 487
11 426 148
12 119 130
13 336 902
14 224 647
15 417 252
16 423 976
17 378 836
18 473

14 18 31
1 234 812
2 482 967
3 274 307
4 37 798
5 136 370
6 448 437
7 30 608
8 439 102
9 441 586
10 382 881
11 485 820
12 460 242
13 459 876
14 297 417
15 439 659
16 350 261
17 142 337
18 193 215
19 126 419
20 253 898
21 463 346
22 404 449
23 461 809
24 359 207
25 463 205
26 183 899
27 85 929
28 378 839
29 482 444
30 479 912
31 319

15 59 4
1 207 820
2 488 394
3 118 168
4 143

16 75 41
1 413 645
2 73 521
3 273 830
4 293 621
5 89 861
6 126 181
7 387 170
8 359 348
9 435 401
10 485 963
11 163 244
12 270 473
13 388 107
14 30 99
15 427 241
16 324 251
17 352 559
18 331 981
19 431 913
20 225 452
21 60 337
22 327 470
23 386 510
24 320 756
25 366 165
26 234 694
27 414 986
28 146 408
29 182 91
30 26 315
31 38 655
32 328 555
33 24 738
34 33 741
35 325 457
36 373 770
37 478 809
38 424 216
39 186 741
40 208 719
41 387

17 105 24
1 332 298
2 262 459
3 278 124
4 356 333
5 271 641
6 59 725
7 284 817
8 483 646
9 86 474
10 374 598
11 198 252
12 353 119
13 312 621
14 236 121
15 136 152
16 453 364
17 413 330
18 212 366
19 323 372
20 339 999
21 188 504
22 227 935
23 444 212
24 304

18 22 35
1 219 919
2 383 112
3 217 459
4 230 313
5 253 821
6 182 360
7 459 877
8 101 858
9 340 828
10 228 104
11 421 978
12 215 699
13 248 715
14 367 448
15 248 554
16 89 508
17 377 792
18 296 723
19 116 596
20 275 882
21 322 646
22 434 254
23 458 658
24 36 189
25 96 320
26 25 126
27 476 189
28 407 817
29 39 466
30 439 153
31 497 759
32 229 894
33 436 308
34 61 963
35 408

19 46 13
1 243 336
2 174 76
3 100 791
4 284 527
5 462 233
6 197 42
7 197 197
8 181 852
9 296 445
10 104 386
11 44 648
12 313 898
13 58

20 85 30
1 298 677
2 334 915
3 348 237
4 197 503
5 170 605
6 484 897
7 452 482
8 270 971
9 326 96
10 257 420
11 260 376
12 87 935
13 54 663
14 84 381
15 251 44
16 91 406
17 321 35
18 381 449
19 316 931
20 498 158
21 285 453
22 251 677
23 386 656
24 307 56
25 483 122
26 134 844
27 371 482
28 155 689
29 63 375
30 286

21 16 15
1 453 321
2 86 316
3 276 50
4 110 788
5 480 113
6 269 238
7 67 325
8 468 597
9 196 138
10 310 451
11 430 657
12 96 383
13 406 37
14 480 77
15 426

22 70 11
1 265 855
2 123 610
3 376 84
4 358 963
5 381 764
6 432 337
7 403 842
8 496 489
9 297 876
10 37 789
11 392

23 63 41
1 460 69
2 438 530
3 97 999
4 188 432
5 360 463
6 424 544
7 42 266
8 400 308
9 371 528
10 473 929
11 446 749
12 279 595
13 308 667
14 65 572
15 378 57
16 194 781
17 67 451
18 458 814
19 260 943
20 35 745
21 432 724
22 454 343
23 173 621
24 66 761
25 362 688
26 302 725
27 129 235
28 288 982
29 453 320
30 282 31
31 162 686
32 301 844
33 117 56
34 237 370
35 37 325
36 12 594
37 20 995
38 245 316
39 372 475
40 330 378
41 488

24 0 41
1 214 185
2 311 970
3 424 34
4 280 428
5 47 358
6 66 136
7 222 864
8 277 569
9 26 710
10 111 938
11 138 690
12 279 318
13 11 683
14 149 114
15 287 732
16 417 496
17 392 610
18 473 200
19 5 671
20 450 341
21 45 746
22 268 486
23 99 478
24 168 702
25 164 928
26 40 63
27 36 545
28 95 917
29 469 473
30 44 704
31 482 99
32 488 628
33 286 964
34 376 232
35 211 95
36 42 442
37 214 500
38 7 32
39 78 937
40 471 942
41 206

25 31 24
1 118 900
2 310 680
3 56 755
4 489 384
5 150 224
6 131 94
7 488 640
8 383 889
9 204 326
10 381 776
11 430 177
12 135 606
13 114 253
14 49 625
15 378 236
16 39 165
17 45 113
18 114 349
19 121 195
20 141 306
21 490 532
22 247 706
23 314 414
24 8

26 11 1
1 435

27 32 19
1 443 851
2 236 796
3 134 687
4 86 737
5 226 231
6 240 926
7 28 413
8 33 595
9 399 88
10 320 469
11 184 294
12 300 368
13 490 427
14 440 569
15 138 38
16 10 700
17 38 581
18 115 663
19 144

28 74 3
1 288 848
2 400 387
3 5

29 39 38
1 457 194
2 303 172
3 331 250
4 347 91
5 134 915
6 390 565
7 330 218
8 147 973
9 449 164
10 342 434
11 75 278
12 324 685
13 427 434
14 51 109
15 128 577
16 256 538
17 472 418
18 114 867
19 68 316
20 9 461
21 428 361
22 125 508
23 363 53
24 401 217
25 306 807
26 299 124
27 356 290
28 8 729
29 93 485
30 197 113
31 452 279
32 496 123
33 497 278
34 350 740
35 435 95
36 93 729
37 439 506
38 338

30 116 30
1 69 152
2 349 848
3 431 717
4 265 477
5 318 564
6 350 324
7 352 588
8 109 703
9 50 594
10 344 358
11 269 991
12 494 774
13 372 920
14 357 254
15 338 193
16 123 276
17 95 376
18 410 852
19 42 277
20 233 691
21 380 395
22 323 812
23 123 868
24 355 644
25 138 742
26 265 773
27 209 537
28 262 75
29 471 218
30 202

31 13 28
1 202 477
2 141 683
3 484 222
4 215 420
5 367 414
6 392 466
7 225 75
8 345 523
9 422 366
10 357 356
11 432 341
12 431 538
13 297 181
14 199 234
15 62 373
16 371 180
17 297 885
18 103 943
19 191 809
20 386 370
21 346 212
22 225 428
23 80 461
24 155 696
25 297 435
26 179 770
27 192 332
28 401

32 12 26
1 276 576
2 330 758
3 344 533
4 170 603
5 403 507
6 216 916
7 350 216
8 32 838
9 316 105
10 356 969
11 204 850
12 105 684
13 254 351
14 372 407
15 181 323
16 453 94
17 311 492
18 84 55
19 462 848
20 165 861
21 270 678
22 352 820
23 321 885
24 437 281
25 139 437
26 499

33 48 21
1 369 661
2 421 180
3 470 36
4 62 114
5 80 474
6 128 249
7 124 811
8 230 684
9 179 939
10 202 284
11 58 889
12 21 751
13 107 884
14 397 818
15 388 657
16 483 445
17 284 697
18 440 719
19 293 651
20 150 650
21 135

34 38 41
1 79 928
2 349 735
3 376 482
4 441 781
5 338 949
6 419 550
7 340 265
8 261 693
9 465 235
10 98 591
11 462 410
12 256 243
13 347 73
14 379 682
15 160 523
16 252 817
17 13 858
18 340 801
19 151 732
20 185 360
21 83 366
22 354 331
23 172 412
24 30 847
25 201 620
26 163 623
27 155 430
28 141 406
29 262 189
30 145 173
31 238 30
32 201 589
33 489 830
34 321 248
35 304 887
36 73 622
37 196 257
38 461 674
39 300 725
40 348 551
41 392

35 2 26
1 437 384
2 82 557
3 53 644
4 69 54
5 338 618
6 202 929
7 315 888
8 275 329
9 377 446
10 329 429
