50 5
1 6 5
1 253 801
2 146 98
3 106 774
4 218 606
5 383

2 35 23
1 291 358
2 226 690
3 162 182
4 145 593
5 318 702
6 387 751
7 185 965
8 424 315
9 427 931
10 209 999
11 419 496
12 145 650
13 427 171
14 90 779
15 338 286
16 156 125
17 402 871
18 171 344
19 173 234
20 328 939
21 378 956
22 404 485
23 430

3 75 4
1 412 753
2 135 86
3 50 267
4 159

4 64 22
1 76 656
2 389 84
3 143 677
4 305 415
5 105 642
6 144 755
7 263 242
8 408 556
9 100 979
10 111 906
11 274 952
12 40 357
13 329 478
14 443 368
15 203 122
16 225 222
17 132 738
18 237 725
19 275 911
20 203 377
21 246 259
22 497

5 4 8
1 295 759
2 263 997
3 16 322
4 75 974
5 435 246
6 125 518
7 71 173
8 224

6 48 14
1 256 842
2 276 844
3 381 73
4 375 585
5 464 537
6 34 237
7 132 904
8 219 704
9 185 907
10 372 988
11 422 510
12 263 197
13 239 136
14 263

7 4 3
1 281 873
2 48 310
3 169

8 10 23
1 457 661
2 369 218
3 428 478
4 350 679
5 166 849
6 65 690
7 451 572
8 143 275
9 191 823
10 19 687
11 283 594
12 125 822
13 59 326
14 346 610
15 435 739
16 381 101
17 151 206
18 496 626
19 115 696
20 11 119
21 296 491
22 102 712
23 121

9 23 25
1 391 377
2 97 774
3 471 86
4 316 218
5 343 339
6 41 77
7 340 660
8 42 551
9 80 824
10 371 81
11 101 285
12 211 654
13 429 78
14 445 868
15 268 540
16 486 400
17 478 322
18 253 845
19 241 204
20 214 79
21 140 126
22 135 342
23 153 716
24 450 288
25 497

10 47 4
1 188 592
2 381 911
3 269 658
4 492

11 41 17
1 86 410
2 497 914
3 32 672
4 362 829
5 455 990
6 32 374
7 208 928
8 484 189
9 8 960
10 216 809
11 394 656
12 476 449
13 366 814
14 242 738
15 490 421
16 51 443
17 274

12 34 6
1 5 340
2 162 588
3 489 239
4 31 493
5 483 672
6 394

13 44 22
1 152 78
2 327 313
3 328 241
4 322 525
5 194 145
6 157 856
7 222 971
8 35 526
9 376 727
10 44 921
11 253 847
12 68 474
13 448 142
14 314 66
15 373 131
16 111 351
17 259 226
18 57 748
19 385 976
20 126 263
21 467 345
22 110

14 47 6
1 426 493
2 176 562
3 402 50
4 409 679
5 77 771
6 180

15 53 16
1 163 289
2 487 76
3 454 990
4 145 554
5 224 414
6 106 351
7 448 752
8 113 441
9 311 935
10 305 211
11 392 246
12 161 692
13 304 823
14 291 751
15 322 456
16 246

16 17 11
1 358 467
2 232 612
3 107 144
4 328 937
5 487 142
6 421 684
7 79 536
8 111 116
9 281 206
10 40 257
11 105

17 23 5
1 395 52
2 5 800
3 448 982
4 72 360
5 237

18 1 1
1 401

19 33 11
1 486 936
2 202 599
3 193 455
4 423 541
5 22 90
6 178 666
7 86 616
8 140 560
9 474 612
10 374 320
11 318

20 20 23
1 406 867
2 333 691
3 254 241
4 119 612
5 354 288
6 362 778
7 339 158
8 302 926
9 259 563
10 480 178
11 274 110
12 487 986
13 120 772
14 194 789
15 7 759
16 376 395
17 106 898
18 228 650
19 452 705
20 358 531
21 156 988
22 130 913
23 25

21 38 20
1 42 624
2 407 657
3 461 165
4 464 842
5 145 871
6 152 782
7 168 969
8 450 44
9 86 67
10 78 983
11 41 684
12 258 899
13 42 369
14 90 670
15 124 348
16 54 894
17 225 531
18 54 425
19 194 724
20 202

22 258 5
1 465 893
2 337 243
3 357 389
4 127 568
5 206

23 71 11
1 472 297
2 84 133
3 496 991
4 498 688
5 278 70
6 198 468
7 58 486
8 289 304
9 142 346
10 355 751
11 166

24 8 22
1 120 996
2 221 660
3 84 880
4 422 794
5 182 330
6 47 238
7 174 907
8 30 98
9 462 931
10 117 439
11 297 535
12 38 890
13 266 696
14 33 826
15 283 806
16 481 216
17 23 616
18 455 51
19 256 792
20 123 957
21 79 950
22 228

25 4 16
1 304 158
2 32 310
3 33 88
4 233 898
5 254 207
6 297 108
7 424 591
8 302 265
9 225 59
10 370 960
11 289 509
12 73 876
13 109 634
14 145 259
15 90 548
16 342

26 44 6
1 422 876
2 300 226
3 297 771
4 262 484
5 287 486
6 19

27 216 5
1 462 287
2 451 416
3 241 707
4 26 352
5 174

28 61 21
1 166 835
2 64 327
3 113 270
4 44 643
5 401 325
6 312 850
7 288 336
8 461 619
9 26 288
10 132 878
11 286 380
12 50 712
13 492 897
14 460 528
15 414 814
16 331 372
17 207 361
18 21 127
19 18 335
20 308 492
21 497

29 5 17
1 170 480
2 161 589
3 484 835
4 220 124
5 204 442
6 306 89
7 229 568
8 364 588
9 449 652
10 269 553
11 176 546
12 259 178
13 299 240
14 364 128
15 12 179
16 405 652
17 235

30 20 6
1 30 290
2 37 494
